rank_univariate_f1,feature,group,mi,f_stat,p_value,pearson_corr,univariate_f1
51,nilc__concretude_4_55_ratio,nilc,0.183907,1949.7502,0.0000e+00,-0.4373,0.694997
52,"ud__NOUN(*, ADJ/amod)",enhanced_ud,0.112016,575.1179,6.4910e-123,0.2553,0.694599
53,nilc__brunet,nilc,0.146738,998.0500,6.9990e-207,0.3285,0.694547
54,nilc__verbs_ambiguity,nilc,0.148357,1579.8787,0.0000e+00,-0.4009,0.693304
55,nilc__clauses_per_sentence,nilc,0.176388,653.3790,9.3367e-139,0.2709,0.691509
56,nilc__preposition_diversity,nilc,0.143627,1595.8595,0.0000e+00,-0.4026,0.689394
57,nilc__third_person_possessive_pronouns,nilc,0.090433,1371.4644,7.4816e-278,0.3776,0.688648
58,nilc__prepositions_per_sentence,nilc,0.175005,621.1860,2.9484e-132,0.2646,0.685984
59,nilc__apposition_per_clause,nilc,0.145598,238.9800,3.6381e-53,0.1678,0.684432
60,nilc__content_word_standard_deviation,nilc,0.124877,1710.1153,0.0000e+00,-0.4144,0.683593
61,nilc__dep_distance,nilc,0.138557,41.6016,1.1820e-10,0.0708,0.683264
62,nilc__lsa_span_std,nilc,0.148501,1705.8003,0.0000e+00,-0.4140,0.680998
63,nilc__named_entity_ratio_text,nilc,0.250073,779.8253,4.6982e-164,0.2939,0.680434
64,nilc__lsa_givenness_std,nilc,0.134935,1743.6643,0.0000e+00,-0.4177,0.680099
65,liwc__adj (Adjectives),liwc,0.162687,1128.9624,4.3701e-232,0.3470,0.677665
66,nilc__named_entity_ratio_sentence,nilc,0.234972,412.9888,1.2505e-89,0.2184,0.676113
67,nilc__relative_pronouns_ratio,nilc,0.141308,992.7061,7.6124e-206,0.3278,0.675123
68,nilc__concretude_1_25_ratio,nilc,0.110660,403.4599,1.1844e-87,0.2160,0.675005
69,nilc__add_neg_conn_ratio,nilc,0.149569,959.9434,1.7757e-199,0.3229,0.673679
70,nilc__sentence_length_min,nilc,0.112611,1707.2496,0.0000e+00,0.4141,0.673537
71,liwc__ingest (Ingest),liwc,0.099565,43.6872,4.0921e-11,0.0726,0.672354
72,liwc__anx (Anx),liwc,0.115581,466.0932,1.3311e-100,0.2313,0.670866
73,nilc__mean_noun_phrase,nilc,0.120490,542.0800,3.4942e-116,0.2483,0.670579
74,liwc__verb (Verbs),liwc,0.136851,1132.6990,8.4393e-233,-0.3475,0.669418
75,nilc__lsa_adj_std,nilc,0.128863,1608.2546,0.0000e+00,-0.4039,0.666719
76,nilc__content_words_ambiguity,nilc,0.112039,840.4392,4.7007e-176,-0.3041,0.666464
77,nilc__noun_diversity,nilc,0.191202,1148.9872,6.5528e-236,0.3497,0.666156
78,liwc__anger (Anger),liwc,0.104764,40.5655,2.0031e-10,0.0700,0.664786
79,nilc__coordinate_conjunctions_per_clauses,nilc,0.168167,565.4586,5.9922e-121,0.2533,0.662643
80,nilc__familiaridade_mean,nilc,0.102742,1102.2937,5.5735e-227,-0.3433,0.662182
81,nilc__adverbs_before_main_verb_ratio,nilc,0.161170,775.4124,3.5379e-163,0.2931,0.662040
82,nilc__idade_aquisicao_std,nilc,0.085502,797.5727,1.4126e-167,-0.2969,0.661550
83,"ud__NOUN(ADP/case, *, ADJ/amod)",enhanced_ud,0.132423,889.9352,8.5781e-186,0.3121,0.660910
84,nilc__prepositions_per_clause,nilc,0.175554,464.1001,3.4258e-100,0.2308,0.660558
85,nilc__aux_plus_PCP_per_sentence,nilc,0.155378,634.3267,6.5122e-135,0.2672,0.660065
86,"ud__NOUN(DET/det, *, ADJ/amod)",enhanced_ud,0.139731,817.8763,1.3473e-171,0.3004,0.657142
87,nilc__hypernyms_verbs,nilc,0.163256,728.4513,8.0660e-154,0.2849,0.653652
88,nilc__adjectives_standard_deviation,nilc,0.115235,487.7703,4.6247e-105,0.2363,0.652283
89,nilc__nouns_ambiguity,nilc,0.115349,863.8752,1.1331e-180,0.3079,0.651602
90,nilc__sentence_length_standard_deviation,nilc,0.121447,851.6144,2.9422e-178,-0.3059,0.651120
91,nilc__familiaridade_std,nilc,0.078249,541.6504,4.2759e-116,-0.2482,0.648738
92,nilc__adjunct_per_clause,nilc,0.154103,376.5862,4.5685e-82,0.2090,0.648476
93,nilc__non_svo_ratio,nilc,0.171615,711.8429,1.6909e-150,0.2819,0.644881
94,nilc__ratio_subordinate_conjunctions,nilc,0.171419,441.1532,1.8569e-95,0.2253,0.642638
95,liwc__hear (Hear),liwc,0.102608,672.3625,1.4089e-142,-0.2745,0.642209
96,liwc__number (Numbers),liwc,0.129820,611.8252,2.3118e-130,0.2628,0.641026
97,liwc__informal (Informal Language),liwc,0.108105,774.1742,6.2351e-163,-0.2929,0.640821
98,nilc__cau_neg_conn_ratio,nilc,0.084979,998.1759,6.6164e-207,0.3286,0.640392
99,nilc__pronoun_ratio,nilc,0.123357,869.5765,8.5640e-182,-0.3088,0.640319
100,nilc__negative_words,nilc,0.101687,801.6568,2.1906e-168,0.2976,0.639026
101,"ud__PROPN(PUNCT/punct, *, PUNCT/punct)",enhanced_ud,0.085301,342.6201,5.5828e-75,0.1997,0.638176
102,"ud__NOUN(ADP/case, DET/det, *, ADJ/amod)",enhanced_ud,0.129226,483.0862,4.2428e-104,0.2352,0.636307
103,pos__PRON,pos_tagger,0.151434,980.7101,1.6235e-203,-0.3260,0.636162
104,"ud__NOUN(DET/det, *, ADJ/amod, NOUN/nmod)",enhanced_ud,0.081214,448.1771,6.5817e-97,0.2270,0.635334
105,nilc__ratio_coordinate_conjunctions,nilc,0.158417,737.5378,1.2363e-155,0.2865,0.634826
106,nilc__nouns_min,nilc,0.115469,652.0717,1.7127e-138,0.2707,0.633903
107,nilc__frazier,nilc,0.117701,771.1146,2.5299e-162,0.2924,0.633245
108,"ud__VERB(NOUN/nsubj, *, VERB/ccomp, PUNCT/punct)",enhanced_ud,0.063437,286.8179,2.8561e-63,0.1833,0.632882
109,nilc__content_word_min,nilc,0.108858,1203.1664,3.2433e-246,0.3568,0.630697
110,nilc__hard_conjunctions_ratio,nilc,0.128288,425.6007,3.0531e-92,0.2215,0.630382
111,ud__*(VERB),enhanced_ud,0.149232,265.9198,7.2841e-59,-0.1767,0.629702
112,liwc__focuspast (Past Focus),liwc,0.132766,833.1112,1.3140e-174,-0.3029,0.629285
113,liwc__posemo (Positive Emotions),liwc,0.124497,446.5341,1.4372e-96,0.2266,0.628609
114,ud__PRON(*),enhanced_ud,0.126064,874.1416,1.0842e-182,-0.3096,0.628340
115,nilc__relative_pronouns_diversity_ratio,nilc,0.133564,316.9883,1.3028e-69,0.1924,0.625693
116,"ud__VERB(ADP/mark, *, NOUN/obj)",enhanced_ud,0.104989,215.1294,4.2000e-48,0.1594,0.624198
117,nilc__verb_diversity,nilc,0.165873,681.2225,2.3348e-144,0.2762,0.623158
118,nilc__infinitive_verbs,nilc,0.169567,327.1342,9.7265e-72,0.1953,0.622415
119,"ud__NOUN(DET/det, *, VERB/acl)",enhanced_ud,0.067422,109.5670,1.7601e-25,0.1145,0.621584
120,liwc__social (Social),liwc,0.107850,630.3086,4.2209e-134,-0.2664,0.620749
121,liwc__affect (Affect),liwc,0.113558,456.1920,1.4614e-98,0.2289,0.619487
122,nilc__indicative_preterite_perfect_ratio,nilc,0.128161,496.3539,7.9900e-107,0.2382,0.618510
123,"ud__PROPN(ADP/case, *)",enhanced_ud,0.102898,140.4429,3.8793e-32,0.1294,0.616265
124,nilc__adj_cw_ovl,nilc,0.098714,206.9983,2.2539e-46,-0.1565,0.615767
125,nilc__indicative_present_ratio,nilc,0.130795,461.3245,1.2785e-99,0.2302,0.615222
126,liwc__insight (Insight),liwc,0.122978,376.0067,6.0316e-82,0.2088,0.614873
127,nilc__tmp_pos_conn_ratio,nilc,0.135306,160.5021,1.9181e-36,0.1382,0.613011
128,ud__*(NOUN),enhanced_ud,0.087543,610.0576,5.2710e-130,-0.2624,0.612911
129,"ud__ADV(ADV/advmod, *)",enhanced_ud,0.073455,552.0169,3.2818e-118,0.2505,0.610699
130,nilc__verbs,nilc,0.091739,270.2492,8.8816e-60,-0.1781,0.607522
131,nilc__adverbs_max,nilc,0.125181,24.8283,6.3945e-07,0.0548,0.606609
132,liwc__achieve (Achievement),liwc,0.125261,248.2724,3.9173e-55,0.1709,0.605384
133,nilc__adj_stem_ovl,nilc,0.100084,219.9034,4.0609e-49,-0.1611,0.602265
134,liwc__function (Function Words),liwc,0.107366,226.6309,1.5134e-50,-0.1635,0.601640
135,liwc__cogproc (Cognitive Processes),liwc,0.100526,206.7839,2.5035e-46,0.1564,0.599983
136,nilc__inflected_verbs,nilc,0.211903,238.2006,5.3216e-53,0.1675,0.599385
137,nilc__imageabilidade_55_7_ratio,nilc,0.124686,691.0062,2.5354e-146,-0.2780,0.598956
138,"ud__NOUN(ADP/case, *, NOUN/conj)",enhanced_ud,0.068713,177.6164,4.1678e-40,0.1452,0.597569
139,nilc__personal_pronouns,nilc,0.093873,567.3412,2.4795e-121,-0.2537,0.596884
140,liwc__certain (Certainty),liwc,0.114502,166.7068,8.9906e-38,0.1408,0.596336
141,liwc__prep (Prepositions),liwc,0.088047,173.2308,3.6112e-39,0.1434,0.595584
142,nilc__stem_ovl,nilc,0.120952,190.4088,7.7281e-43,-0.1502,0.595505
143,"ud__NOUN(ADP/case, DET/det, *)",enhanced_ud,0.116462,509.0273,2.0115e-109,-0.2411,0.595392
144,liwc__money (Money),liwc,0.107000,54.2341,1.9512e-13,0.0808,0.594863
145,liwc__space (Space),liwc,0.083214,195.1741,7.4432e-44,0.1520,0.594682
146,liwc__risk (Risk),liwc,0.104000,183.5986,2.1967e-41,0.1476,0.594655
147,nilc__idade_aquisicao_4_55_ratio,nilc,0.107404,241.5223,1.0525e-53,-0.1687,0.594511
148,"ud__NOUN(*, ADJ/amod, NOUN/nmod)",enhanced_ud,0.077093,246.5261,9.1753e-55,0.1704,0.591819
149,liwc__drives (Drives),liwc,0.082240,222.5133,1.1330e-49,0.1621,0.591608
150,nilc__cw_freq_bra,nilc,0.064761,201.2828,3.7148e-45,0.1543,0.590270
151,liwc__male (Male),liwc,0.126502,464.8220,2.4325e-100,-0.2310,0.589917
152,pos__AUX,pos_tagger,0.102870,327.4134,8.5012e-72,-0.1954,0.589550
153,liwc__negemo (Negative Emotions),liwc,0.104880,116.0893,6.8579e-27,0.1178,0.589509
154,nilc__adjective_diversity_ratio,nilc,0.168328,279.8149,8.5330e-62,0.1811,0.589444
155,liwc__auxverb (Auxiliary Verbs),liwc,0.120932,297.8970,1.3318e-65,-0.1867,0.589194
156,nilc__concretude_55_7_ratio,nilc,0.132520,549.8371,9.1328e-118,-0.2500,0.589070
157,nilc__nouns_max,nilc,0.095176,783.5349,8.6140e-165,0.2945,0.589038
158,nilc__adverbs_ambiguity,nilc,0.077442,230.3680,2.4373e-51,0.1648,0.588529
159,nilc__medium_short_sentence_ratio,nilc,0.059473,275.6638,6.4011e-61,-0.1798,0.588227
160,liwc__ppron (Personal Pronouns),liwc,0.114764,68.2810,1.6384e-16,-0.0906,0.583927
161,liwc__cause (Causal),liwc,0.109831,114.6178,1.4256e-26,0.1171,0.582252
162,pos__VERB,pos_tagger,0.095746,94.6543,2.9852e-22,-0.1065,0.581638
163,nilc__conn_ratio,nilc,0.087001,86.7542,1.5493e-20,0.1020,0.581519
164,"ud__VERB(PUNCT/punct, *, VERB/ccomp)",enhanced_ud,0.092111,801.1783,2.7251e-168,0.2976,0.580797
165,nilc__freq_bra,nilc,0.063670,218.6457,7.5137e-49,0.1607,0.580091
166,nilc__adj_arg_ovl,nilc,0.080446,115.3139,1.0084e-26,-0.1174,0.579938
167,pos__CCONJ,pos_tagger,0.095800,71.8620,2.7081e-17,0.0929,0.579608
168,liwc__pronoun (Pronouns),liwc,0.105356,42.6919,6.7876e-11,-0.0718,0.575929
169,ud__PROPN(*),enhanced_ud,0.124155,90.7876,2.0610e-21,0.1043,0.575927
170,"ud__ADJ(CCONJ/cc, *)",enhanced_ud,0.056548,102.8630,4.9670e-24,0.1110,0.575665
171,liwc__percept (Perceptual Processes),liwc,0.100781,261.8835,5.1865e-58,-0.1754,0.575249
172,pos__NOUN,pos_tagger,0.096075,32.6471,1.1435e-08,0.0628,0.575030
173,liwc__work (Work),liwc,0.103853,218.9881,6.3547e-49,0.1608,0.574019
174,"ud__NOUN(ADP/case, DET/det, *, ADJ/amod, NOUN/nmod)",enhanced_ud,0.040514,129.9278,7.1063e-30,0.1245,0.573906
175,nilc__sentence_length_max,nilc,0.105312,71.2195,3.7399e-17,-0.0925,0.572162
176,liwc__power (Power),liwc,0.100731,119.4260,1.3058e-27,0.1195,0.572141
177,nilc__ratio_function_to_content_words,nilc,0.099069,141.8583,1.9251e-32,-0.1300,0.570563
178,"ud__NOUN(DET/det, *, NOUN/nmod)",enhanced_ud,0.105959,145.0830,3.9036e-33,0.1315,0.569780
179,nilc__pronoun_diversity,nilc,0.038483,130.4233,5.5580e-30,-0.1248,0.569304
180,nilc__function_words,nilc,0.102045,88.2449,7.3492e-21,-0.1029,0.567669
181,nilc__content_words,nilc,0.099107,86.9685,1.3918e-20,0.1021,0.567499
182,ud__AUX(*),enhanced_ud,0.089029,195.1647,7.4773e-44,-0.1520,0.567444
183,nilc__arg_ovl,nilc,0.122743,98.8141,3.7422e-23,-0.1088,0.565777
184,nilc__familiaridade_25_4_ratio,nilc,0.123107,47.6358,5.5119e-12,0.0758,0.565607
185,liwc__time (Time),liwc,0.081780,47.4423,6.0805e-12,0.0756,0.565182
186,pos__PROPN,pos_tagger,0.109528,46.4457,1.0081e-11,0.0748,0.564212
187,nilc__cw_freq_brwac,nilc,0.068105,49.1949,2.5006e-12,0.0770,0.563733
188,nilc__indefinite_pronouns_diversity,nilc,0.027736,146.4563,1.9791e-33,0.1321,0.561230
189,liwc__motion (Motion),liwc,0.106558,218.8152,6.9156e-49,-0.1608,0.559921
190,liwc__quant (Quantifiers),liwc,0.122631,220.7754,2.6507e-49,-0.1615,0.559357
191,"ud__PROPN(PUNCT/punct, *, PROPN/flat:name, PUNCT/punct)",enhanced_ud,0.054022,198.8882,1.2025e-44,0.1534,0.559243
192,liwc__interrog (Interrogatives),liwc,0.105973,62.2659,3.3856e-15,-0.0866,0.558816
193,ud__NUM(*),enhanced_ud,0.075281,211.2619,2.7907e-47,-0.1580,0.557398
194,"ud__NOUN(CCONJ/cc, *, ADJ/amod)",enhanced_ud,0.057352,338.0094,5.1427e-74,0.1984,0.557202
195,nilc__medium_long_sentence_ratio,nilc,0.046599,99.9563,2.1166e-23,-0.1094,0.555118
196,nilc__freq_brwac,nilc,0.047504,72.1614,2.3299e-17,0.0931,0.554884
197,liwc__relativ (Relativity),liwc,0.070841,41.0468,1.5677e-10,0.0704,0.554593
198,nilc__cau_pos_conn_ratio,nilc,0.111733,61.8581,4.1580e-15,-0.0863,0.554214
199,nilc__pronouns_max,nilc,0.104494,9.2370,2.3792e-03,0.0334,0.552902
200,pos__NUM,pos_tagger,0.087183,178.0150,3.4254e-40,-0.1454,0.550182
201,liwc__feel (Feel),liwc,0.079190,110.9265,8.9462e-26,-0.1152,0.549762
202,ud__PUNCT(*),enhanced_ud,0.096746,25.9740,3.5372e-07,-0.0560,0.548588
203,"ud__ADJ(*, ADJ/conj)",enhanced_ud,0.047002,206.6008,2.7385e-46,0.1563,0.548233
204,pos__X,pos_tagger,0.063096,311.8898,1.5300e-68,-0.1909,0.547559
205,liwc__discrep (Discrepancies),liwc,0.129480,82.4271,1.3520e-19,-0.0995,0.547364
206,nilc__nouns_standard_deviation,nilc,0.093100,92.7380,7.7757e-22,0.1054,0.546501
207,nilc__add_pos_conn_ratio,nilc,0.095410,36.4962,1.5960e-09,0.0664,0.545726
208,pos__PUNCT,pos_tagger,0.097325,25.3306,4.9320e-07,-0.0553,0.545285
209,liwc__netspeak (Netspeak),liwc,0.045626,262.9236,3.1272e-58,-0.1758,0.545018
210,nilc__negation_ratio,nilc,0.141259,121.1956,5.4204e-28,-0.1203,0.544818
211,nilc__min_cw_freq,nilc,0.077736,96.9645,9.4193e-23,-0.1078,0.544661
212,nilc__verbs_max,nilc,0.095965,15.5169,8.2447e-05,0.0433,0.543817
213,liwc__focuspresent (Present Focus),liwc,0.090771,119.6039,1.1953e-27,-0.1196,0.543421
214,liwc__negate (Negations),liwc,0.130349,49.7863,1.8531e-12,-0.0775,0.539181
215,"ud__PROPN(*, PROPN/flat:name)",enhanced_ud,0.098155,76.2579,2.9796e-18,-0.0957,0.538987
216,nilc__adverbs,nilc,0.114924,57.8052,3.2122e-14,-0.0834,0.537401
217,"ud__NOUN(ADP/case, ADJ/amod, *)",enhanced_ud,0.042828,123.3093,1.8972e-28,0.1214,0.535348
218,"ud__NOUN(ADP/case, DET/det, *, PROPN/nmod)",enhanced_ud,0.096403,66.6450,3.7315e-16,-0.0895,0.534472
219,nilc__imageabilidade_std,nilc,0.023101,25.8288,3.8127e-07,0.0559,0.533970
220,nilc__punctuation_ratio,nilc,0.058198,126.2492,4.4083e-29,-0.1228,0.533816
221,"ud__NOUN(CCONJ/cc, *, NOUN/nmod)",enhanced_ud,0.041611,108.3813,3.1765e-25,0.1139,0.533640
222,liwc__reward (Reward),liwc,0.113890,17.6142,2.7340e-05,0.0462,0.532354
223,"ud__NOUN(*, NOUN/nmod)",enhanced_ud,0.086336,91.2288,1.6530e-21,-0.1046,0.529603
224,ud__ADV(*),enhanced_ud,0.080819,34.9388,3.5375e-09,-0.0649,0.523797
225,nilc__third_person_pronouns,nilc,0.001197,22.3801,2.2740e-06,0.0520,0.523571
226,"ud__PUNCT(PUNCT/punct, *, PUNCT/punct, PUNCT/punct)",enhanced_ud,0.059871,551.4426,4.2974e-118,-0.2503,0.522603
227,liwc__body (Body),liwc,0.054200,93.5403,5.2077e-22,-0.1059,0.519936
228,nilc__simple_word_ratio,nilc,0.111326,15.9236,6.6522e-05,-0.0439,0.519422
229,nilc__easy_conjunctions_ratio,nilc,0.114527,15.6065,7.8634e-05,-0.0435,0.519298
230,"ud__PRON(ADP/case, *)",enhanced_ud,0.062756,230.0899,2.7920e-51,-0.1647,0.519204
231,pos__ADV,pos_tagger,0.104790,29.6503,5.3233e-08,-0.0598,0.518208
232,liwc__i (I),liwc,0.030964,250.9130,1.0820e-55,-0.1718,0.516946
233,nilc__concretude_std,nilc,0.024351,45.8201,1.3849e-11,-0.0743,0.515669
234,nilc__indefinite_pronoun_ratio,nilc,0.032970,43.0231,5.7357e-11,-0.0720,0.513999
235,liwc__differ (Differentiation),liwc,0.121188,25.5290,4.4513e-07,-0.0555,0.513633
236,liwc__they (They),liwc,0.119263,12.1038,5.0579e-04,0.0383,0.513602
237,ud__VERB(*),enhanced_ud,0.092100,13.8241,2.0208e-04,-0.0409,0.512641
238,"ud__NOUN(ADP/case, DET/det, *, NOUN/nmod)",enhanced_ud,0.092847,46.6304,9.1794e-12,-0.0750,0.511951
239,liwc__leisure (Leisure),liwc,0.073133,78.7105,8.7075e-19,-0.0972,0.511002
240,nilc__verbs_standard_deviation,nilc,0.132286,14.1093,1.7367e-04,-0.0413,0.510579
241,"ud__NOUN(ADP/case, *, ADJ/amod, NOUN/nmod)",enhanced_ud,0.038598,258.4503,2.7564e-57,0.1743,0.508870
242,"ud__VERB(NOUN/nsubj, *, NOUN/obj, VERB/advcl, PUNCT/punct)",enhanced_ud,0.039182,252.2115,5.7479e-56,0.1723,0.507573
243,liwc__tentat (Tentative),liwc,0.111618,17.8742,2.3854e-05,-0.0465,0.504050
244,liwc__filler (Filler Words),liwc,0.041913,420.7248,3.1206e-91,-0.2203,0.503205
245,ud__*(ADJ),enhanced_ud,0.049650,29.8572,4.7863e-08,-0.0601,0.501920
246,nilc__dialog_pronoun_ratio,nilc,0.022374,102.3158,6.5248e-24,-0.1107,0.501610
247,ud__DET(*),enhanced_ud,0.056293,21.7207,3.2031e-06,0.0512,0.500813
248,"ud__NOUN(PUNCT/punct, *)",enhanced_ud,0.028679,266.7876,4.7771e-59,-0.1770,0.500516
249,"ud__ADP(*, DET/fixed, NOUN/fixed, PUNCT/punct)",enhanced_ud,0.053514,677.5448,1.2798e-143,0.2755,0.498952
250,liwc__friend (Friends),liwc,0.070805,23.9093,1.0289e-06,-0.0538,0.498588
251,liwc__assent (Assent),liwc,0.043656,290.3196,5.2306e-64,-0.1844,0.498447
252,"ud__NOUN(ADP/case, DET/det, *, ADJ/amod, PUNCT/punct)",enhanced_ud,0.054229,477.3439,6.4331e-103,0.2339,0.495496
253,nilc__if_ratio,nilc,0.035583,231.6264,1.3181e-51,-0.1653,0.492159
254,"ud__ADV(*, PRON/fixed, PUNCT/punct)",enhanced_ud,0.061312,778.9152,7.1240e-164,0.2937,0.491651
255,nilc__adjacent_refs,nilc,0.026255,68.9285,1.1831e-16,-0.0910,0.491074
256,"ud__ADV(*, PRON/obl, PUNCT/punct)",enhanced_ud,0.035608,543.9794,1.4311e-116,0.2487,0.489555
257,liwc__we (We),liwc,0.054948,46.0852,1.2106e-11,-0.0745,0.489532
258,nilc__familiaridade_1_25_ratio,nilc,0.064445,56.6714,5.6940e-14,-0.0826,0.488151
259,"ud__NOUN(DET/det, *)",enhanced_ud,0.097165,12.6499,3.7769e-04,-0.0391,0.487421
260,nilc__content_density,nilc,0.101097,12.5792,3.9223e-04,0.0390,0.487350
261,liwc__affiliation (Affiliation),liwc,0.103060,23.1948,1.4900e-06,-0.0530,0.487273
262,nilc__content_word_max,nilc,0.044857,15.8166,7.0384e-05,0.0437,0.487131
263,liwc__female (Female),liwc,0.060359,85.0496,3.6361e-20,-0.1010,0.486592
264,nilc__first_person_pronouns,nilc,0.005561,99.8123,2.2742e-23,-0.1093,0.486081
265,ud__NOUN(*),enhanced_ud,0.119182,11.1702,8.3493e-04,0.0368,0.485557
266,"ud__NOUN(ADP/case, *, NOUN/nmod)",enhanced_ud,0.078802,13.8994,1.9415e-04,-0.0410,0.484164
267,"ud__VERB(PUNCT/punct, *, NOUN/obj, NOUN/obl)",enhanced_ud,0.055345,251.2194,9.3192e-56,0.1719,0.483334
268,nilc__adverbs_diversity_ratio,nilc,0.061480,28.0530,1.2108e-07,0.0582,0.483117
269,nilc__or_ratio,nilc,0.021461,142.3936,1.4771e-32,-0.1303,0.482982
270,"ud__NOUN(*, PROPN/nmod)",enhanced_ud,0.050306,19.2599,1.1550e-05,-0.0483,0.481540
271,"ud__NOUN(DET/det, *, PROPN/nmod, PROPN/appos)",enhanced_ud,0.040708,224.3312,4.6576e-50,0.1627,0.481532
272,liwc__sad (Sad),liwc,0.058329,23.1228,1.5467e-06,-0.0529,0.481272
273,ud__X(*),enhanced_ud,0.020544,87.0466,1.3384e-20,-0.1022,0.481152
274,nilc__coreference_pronoun_ratio,nilc,0.027825,51.4745,7.8814e-13,-0.0788,0.479465
