category,mean_human,mean_llm,std_human,std_llm,difference,abs_difference,mann_whitney_u,p_value,cohens_d,significant_005,significant_001,characteristic_of
risk (Risk),1.8441135128019488,2.235873098817781,1.5174590677882298,1.110418274649776,-0.39175958601583205,0.39175958601583205,11205454.5,3.5089065441034487e-94,-0.29464309267893585,True,True,llm
negemo (Negative Emotions),2.0059242270849227,2.3936323792481304,1.8711453928427209,1.4755383752289646,-0.38770815216320775,0.38770815216320775,11611203.0,4.481857752961605e-73,-0.23009490068266214,True,True,llm
time (Time),4.960961288486929,5.3263090367256005,2.664262822209293,1.7560508782051456,-0.3653477482386718,0.3653477482386718,12479087.5,5.911773224853064e-37,-0.1619215491970316,True,True,llm
achieve (Achievement),1.1082288280931203,1.4591361974667414,1.1507904017972848,0.8852035209483671,-0.3509073693736211,0.3509073693736211,10614145.5,2.2227848171870184e-130,-0.3418078960229162,True,True,llm
ppron (Personal Pronouns),10.131717246667549,9.799587370546224,3.1649708199435755,1.7271106023477008,0.33212987612132494,0.33212987612132494,15603515.0,3.26658748406821e-11,0.1302722992285115,True,True,human
cause (Causal),2.5946794330773346,2.923361459662894,1.7359022768139416,1.1204623799826834,-0.32868202658555923,0.32868202658555923,11930742.5,2.8155877537896366e-58,-0.22497715647659916,True,True,llm
pronoun (Pronouns),17.392125296757936,17.071794960572646,4.736011835446468,2.5352106356219823,0.3203303361852896,0.3203303361852896,15431647.0,2.5401415511376753e-08,0.08433089646892662,True,True,human
quant (Quantifiers),1.417457590616458,1.129961987698796,1.2214544485713574,0.7055634968846459,0.28749560291766185,0.28749560291766185,16023429.5,2.3543282960742222e-20,0.28823364642693133,True,True,human
ipron (Impersonal Pronouns),14.305234586272427,14.586746894806948,3.941847219801113,2.3209215786009407,-0.2815123085345217,0.2815123085345217,14118868.0,0.010679777389649613,-0.08703247813367855,True,False,llm
certain (Certainty),0.9742942469498885,1.2331097993396458,1.0057652693348822,0.790569407756418,-0.2588155523897573,0.2588155523897573,11234287.0,3.802194641245723e-93,-0.28611386357272417,True,True,llm
anx (Anx),0.27107590478438104,0.5290694384113653,0.605057884754784,0.5411170315043753,-0.2579935336269843,0.2579935336269843,8784112.5,0.0,-0.4494829058584861,True,True,llm
netspeak (Netspeak),0.3827305022192995,0.1333307405585035,0.9299278585853916,0.39941493318338506,0.249399761660796,0.249399761660796,16039488.5,1.8814968697577934e-35,0.348496038806683,True,True,human
interrog (Interrogatives),3.9849468698332156,3.73947496762326,2.041605496388312,1.1703608229506917,0.2454719022099554,0.2454719022099554,15510092.5,1.3958770761905561e-09,0.14751776738270733,True,True,human
i (I),0.3446357263914566,0.10832340708885194,0.9001770768747673,0.3336220635133256,0.23631231930260468,0.23631231930260468,15758396.0,6.803340948461852e-28,0.3481166836785005,True,True,human
money (Money),1.0370679752873002,1.2679692942608014,1.5922377433639663,1.2739870659273522,-0.2309013189735012,0.2309013189735012,10989744.5,6.477498492889613e-109,-0.16013467342689264,True,True,llm
leisure (Leisure),1.065995980775561,0.8375788566135633,1.5320817331235088,1.0163995158430867,0.22841712416199766,0.22841712416199766,14291695.5,0.13083401103284678,0.1756965808301553,False,False,human
discrep (Discrepancies),1.887740039544922,1.668016811863305,1.449000678245611,0.8647327222179164,0.219723227681617,0.219723227681617,15256040.0,7.288654777938035e-06,0.18414899263131038,True,True,human
adverb (Adverbs),8.267171642807257,8.457743125713682,3.449631880207721,2.061321043785867,-0.19057148290642445,0.19057148290642445,13738725.5,9.326743930197195e-07,-0.06706563372190405,True,True,llm
negate (Negations),1.3359348240476348,1.1611522294964556,1.3733140950685139,0.707720861708637,0.17478259455117917,0.17478259455117917,14204294.5,0.04247554313034467,0.15999251603706474,True,False,human
shehe (SheHe),8.036586379702173,8.199540974628944,2.775820447169187,1.6556503038359682,-0.1629545949267701,0.1629545949267701,13916535.0,0.00014177632332423022,-0.07130158355760295,True,True,llm
relig (Religion),0.4474239369327349,0.2864862877002298,1.3309742799669295,0.7651239881353123,0.1609376492325051,0.1609376492325051,13720559.0,1.349212287202023e-09,0.1482522881274281,True,True,human
dictionary_coverage,69.41368221371998,69.57364391423337,7.200448955163175,4.2068846368113535,-0.1599617005133922,0.1599617005133922,14798873.5,0.09794908001525021,-0.027126896121183915,False,False,llm
reward (Reward),2.0634459739683617,2.2083519249654397,1.5607881339920213,1.0295516284127089,-0.14490595099707804,0.14490595099707804,12729149.5,6.817541387858433e-29,-0.10960068326877648,True,True,llm
female (Female),0.4493970953571464,0.30654175010183654,1.0015799437220678,0.572249746783828,0.14285534525530985,0.14285534525530985,13495862.0,2.1177428838863325e-13,0.1751388467765579,True,True,human
differ (Differentiation),2.6742716408251805,2.5316737145680315,1.8581350391646758,1.0854491970281377,0.14259792625714907,0.14259792625714907,14450337.0,0.6157352530470829,0.09371241083685955,False,False,human
assent (Assent),0.21282985297520576,0.07111140975277883,0.49693802025670564,0.17851150292055437,0.14171844322242694,0.14171844322242694,15724215.0,9.032166462127588e-25,0.37956335338016184,True,True,human
feel (Feel),0.5530436065700722,0.4120079225945372,0.7997013890905897,0.45041402247648277,0.141035683975535,0.141035683975535,14500942.0,0.845027310198164,0.21731319152559406,False,False,human
affiliation (Affiliation),1.8493118873573708,1.708519729584114,1.6562731660381345,1.0674044344528175,0.14079215777325693,0.14079215777325693,14297178.5,0.14695626670008605,0.10104911811702091,False,False,human
filler (Filler Words),0.16576163399277488,0.02820680252350992,0.43076764255235145,0.10299284756596948,0.13755483146926495,0.13755483146926495,16409397.0,1.704149063001932e-80,0.4392142736392379,True,True,human
anger (Anger),0.6259437263713692,0.7576914794509098,1.0734439252159333,0.7486220416447352,-0.13174775307954056,0.13174775307954056,10873390.5,1.8314785046739125e-120,-0.14236899961153646,True,True,llm
death (Death),0.3462834638406693,0.22154899951617588,0.932783966951754,0.48495842159941704,0.12473446432449345,0.12473446432449345,13931983.5,2.428789626038603e-06,0.16779041769556405,True,True,human
body (Body),0.32225724154918217,0.19787523615174335,0.7859945405900819,0.39560414746206274,0.12438200539743882,0.12438200539743882,14303716.5,0.09010577570935681,0.1999036438986197,False,False,human
they (They),1.7223224723816137,1.8451937508764278,1.3986326991308187,0.92887597341568,-0.12287127849481405,0.12287127849481405,12811301.5,1.7679374668639538e-26,-0.10349492865557945,True,True,llm
nonflu (Nonfluencies),0.13166503624762915,0.016901043808967373,0.4475438414935733,0.08847926801420052,0.11476399243866178,0.11476399243866178,15943007.5,1.4841565623720782e-66,0.3557619442988578,True,True,human
ingest (Ingest),0.47342432920385985,0.5767569148637677,0.8629241896607746,0.6040088000902145,-0.10333258565990783,0.10333258565990783,10953911.0,4.8457669610455195e-116,-0.13873803305044982,True,True,llm
compare (Comparisons),1.6746708746729977,1.7538300604794559,1.3195809158475216,0.8697517683322494,-0.0791591858064582,0.0791591858064582,13200323.5,1.7140320952393114e-16,-0.07083384149294006,True,True,llm
we (We),0.28784695376097175,0.21143547873497717,0.6322114527706464,0.3236662597682163,0.07641147502599457,0.07641147502599457,13556105.5,1.9666696500972995e-12,0.1521472176819437,True,True,human
tentat (Tentative),1.8294991218531287,1.7550565047775974,1.4739503754921082,0.9536649590274824,0.07444261707553124,0.07444261707553124,14170206.5,0.0253395399301342,0.05996803948335707,True,False,human
home (Home),0.2953195274451022,0.22845394824192192,0.733752310954992,0.4278673065478518,0.06686557920318029,0.06686557920318029,13552657.0,3.64849182103223e-13,0.11132959044944565,True,True,human
friend (Friends),0.5483118129707227,0.4867625863365088,0.7984787747444745,0.545056262258122,0.061549226634213916,0.061549226634213916,13609660.5,2.736322880291252e-09,0.09003513189786515,True,True,human
sad (Sad),0.361446870561036,0.3082065849700491,0.7071452902820667,0.4115852306950575,0.053240285590986924,0.053240285590986924,13307885.0,6.543637461010463e-17,0.09202251002337479,True,True,human
family (Family),0.6220373214684636,0.5727937641364046,1.1082563492767357,0.744247995953964,0.049243557332058985,0.049243557332058985,12869618.0,9.90997295807255e-28,0.052166757909330376,True,True,human
see (See),0.9872081264816028,1.0344747676239814,1.4229881726987637,0.9634575608172028,-0.04726664114237855,0.04726664114237855,11877885.5,1.082996487779638e-61,-0.038898001978605774,True,True,llm
article (Articles),15.444967474124079,15.403813286290523,3.530989413933943,2.2953512675246692,0.04115418783355551,0.04115418783355551,14839024.5,0.05699683746210564,0.013819578007644122,False,False,human
swear (Swear),0.041078210180590706,0.0026673885212866494,0.2698407727631302,0.03322183937205464,0.038410821659304054,0.038410821659304054,15004234.5,5.3980273502181845e-28,0.19979944385144324,True,True,human
bio (Biological Processes),1.6596342506406683,1.6228874215835345,2.2711253484256475,1.651735387978078,0.03674682905713378,0.03674682905713378,12884639.0,1.6374144594415544e-24,0.01850545928121743,True,True,human
sexual (Sexual),0.07581855888157617,0.04307873930174558,0.4321056554478762,0.20149619833147145,0.03273981957983059,0.03273981957983059,14270634.0,0.00043923730332352345,0.0971127521878618,True,True,human
focusfuture (Future Focus),0.8799735758300153,0.8615797477280942,1.207511020554268,0.6958228666278128,0.01839382810192114,0.01839382810192114,12350985.5,2.4774873813145826e-42,0.018665270843769052,True,True,human
you (You),0.7503714695529975,0.734007985925352,1.041665449903834,0.7126873800140977,0.016363483627645503,0.016363483627645503,12924167.5,4.597832774011667e-24,0.018335139162086917,True,True,human
health (Health),0.8895921018685973,0.8772245571297419,1.8495958235801402,1.3831734641545905,0.012367544738855374,0.012367544738855374,12224103.0,2.174436173520506e-50,0.007572947000691394,True,True,human
conj (Conjunctions),7.734902931146453,7.723156396672225,2.85169101175768,1.5829099298585796,0.011746534474228021,0.011746534474228021,14412993.5,0.463588805912757,0.005093308218372243,False,False,human
