metric,category,n_human,n_llm,median_human,median_llm,mad_human,mad_llm,cliffs_delta,abs_delta,auc,p_value,magnitude,higher_in,q_value_fdr
sentences,complexidade_descritiva,5391,5391,8.0,14.0,3.0,3.0,-0.5782826898682205,0.5782826898682205,0.21085865506588974,0.0,large,llm,0.0
concretude_25_4_ratio,complexidade_psicolinguistica,5391,5391,0.44615,0.54887,0.07578000000000001,0.04886999999999997,-0.5602771108617897,0.5602771108617897,0.21986144456910517,0.0,large,llm,0.0
lsa_paragraph_mean,coesao_semantica_lsa,5391,5391,0.77181,0.90466,0.06908999999999998,0.024519999999999986,-0.5524520091452736,0.5524520091452736,0.2237739954273632,0.0,large,llm,0.0
lsa_all_std,coesao_semantica_lsa,5391,5391,0.0,0.06394,0.0,0.021040000000000003,-0.5486243087875562,0.5486243087875562,0.2256878456062219,0.0,large,llm,0.0
abstract_nouns_ratio,semantica_palavras,5391,5391,0.02439,0.04235,0.012489999999999998,0.009709999999999996,-0.539940069946954,0.539940069946954,0.230029965026523,0.0,large,llm,0.0
cross_entropy,coesao_semantica_lsa,5391,5391,0.65583,0.57624,0.06362000000000001,0.031769999999999965,0.521521661943976,0.521521661943976,0.760760830971988,0.0,large,human,0.0
familiaridade_4_55_ratio,complexidade_psicolinguistica,5391,5391,0.60328,0.67273,0.05628999999999995,0.033519999999999994,-0.5206838578735535,0.5206838578735535,0.23965807106322323,0.0,large,llm,0.0
lsa_span_std,coesao_semantica_lsa,5391,5391,0.10147,0.05044,0.04979000000000001,0.015219999999999997,0.5126248151379074,0.5126248151379074,0.7563124075689537,0.0,large,human,0.0
lsa_givenness_std,coesao_semantica_lsa,5391,5391,0.10873,0.05411,0.053419999999999995,0.017209999999999996,0.5079947855135216,0.5079947855135216,0.7539973927567608,0.0,large,human,0.0
concretude_4_55_ratio,complexidade_psicolinguistica,5391,5391,0.48062,0.40196,0.06757999999999997,0.04148999999999997,0.5023997792923558,0.5023997792923558,0.7511998896461779,0.0,large,human,0.0
idade_aquisicao_25_4_ratio,complexidade_psicolinguistica,5391,5391,0.22222,0.15972,0.05554999999999999,0.03051000000000001,0.5016323054827221,0.5016323054827221,0.750816152741361,0.0,large,human,0.0
sentence_length_min,complexidade_descritiva,5391,5391,3.0,9.0,3.0,4.0,-0.4807929399704042,0.4807929399704042,0.2596035300147979,0.0,large,llm,0.0
verbs_ambiguity,semantica_palavras,5391,5391,9.84615,8.30303,1.3151399999999995,0.82477,0.4798550769966681,0.4798550769966681,0.739927538498334,0.0,large,human,0.0
preposition_diversity,complexidade_diversidade_lexical,5391,5391,0.47368,0.36538,0.09437000000000001,0.05856,0.47961741989722206,0.47961741989722206,0.739808709948611,0.0,large,human,0.0
gunning_fox,complexidade_leiturabilidade,5391,5391,7.04609,9.10655,1.5071000000000003,1.0395699999999994,-0.4755440797490105,0.4755440797490105,0.26222796012549476,0.0,large,llm,0.0
words_per_sentence,complexidade_descritiva,5391,5391,17.27273,22.34783,3.7727299999999993,2.593350000000001,-0.469451394030757,0.469451394030757,0.2652743029846215,0.0,medium,llm,0.0
lsa_adj_std,coesao_semantica_lsa,5391,5391,0.11966,0.06373,0.05971,0.020629999999999996,0.4683869434692314,0.4683869434692314,0.7341934717346157,0.0,medium,human,0.0
content_word_standard_deviation,complexidade_diversidade_lexical,5391,5391,0.08845,0.06372,0.029040000000000003,0.011619999999999998,0.45489230747633047,0.45489230747633047,0.7274461537381652,0.0,medium,human,0.0
add_neg_conn_ratio,coesao_conectivos,5391,5391,0.0,0.00656,0.0,0.0033699999999999997,-0.45336128238628515,0.45336128238628515,0.2733193588068574,0.0,medium,llm,0.0
noun_diversity,complexidade_diversidade_lexical,5391,5391,0.75,0.81,0.05769000000000002,0.04245999999999994,-0.4297346157801768,0.4297346157801768,0.2851326921099116,0.0,medium,llm,0.0
named_entity_ratio_text,semantica_palavras,5391,5391,0.0,0.06089,0.0,0.01709,-0.42717310097371286,0.42717310097371286,0.28641344951314357,0.0,medium,llm,0.0
hypernyms_verbs,semantica_palavras,5391,5391,0.56522,0.75,0.17632999999999993,0.12143000000000004,-0.4119067548740264,0.4119067548740264,0.2940466225629868,2.6258476674007994e-300,medium,llm,6.269881165018236e-300
named_entity_ratio_sentence,semantica_palavras,5391,5391,0.0,0.06148,0.0,0.019429999999999996,-0.4114508124641876,0.4114508124641876,0.2942745937679062,5.0736248328036e-309,medium,llm,1.236696052995878e-308
brunet,complexidade_leiturabilidade,5391,5391,10.49085,11.06564,0.58127,0.25905999999999985,-0.4069962988184138,0.4069962988184138,0.2965018505907931,3.14239015439461e-293,medium,llm,7.353192961283387e-293
familiaridade_mean,complexidade_psicolinguistica,5391,5391,4.80847,4.68795,0.1250599999999995,0.08004000000000033,0.4036930819074682,0.4036930819074682,0.7018465409537341,1.594495246899885e-288,medium,human,3.657959684064442e-288
log_neg_conn_ratio,coesao_conectivos,5391,5391,0.0,0.00326,0.0,0.00326,-0.38681141074761305,0.38681141074761305,0.3065942946261935,4.298203645211e-310,medium,llm,1.069978354233376e-309
negative_words,semantica_palavras,5391,5391,0.24127,0.30275,0.06601000000000001,0.05482000000000001,-0.36655182258083774,0.36655182258083774,0.31672408870958113,2.9750402085252066e-238,medium,llm,6.693840469181715e-238
idade_aquisicao_std,complexidade_psicolinguistica,5391,5391,1.62987,1.53074,0.11245000000000016,0.07696999999999998,0.3663547670996554,0.3663547670996554,0.6831773835498277,5.344641979757393e-238,medium,human,1.1798549276068208e-237
concretude_1_25_ratio,complexidade_psicolinguistica,5391,5391,0.0,0.005,0.0,0.005,-0.3593941013624905,0.3593941013624905,0.32030294931875475,0.0,medium,llm,0.0
nouns_ambiguity,semantica_palavras,5391,5391,2.1134,2.47297,0.42450999999999994,0.28206,-0.35630796547665045,0.35630796547665045,0.3218460172616748,3.071591750923515e-225,medium,llm,6.655115460334282e-225
content_words_ambiguity,semantica_palavras,5391,5391,4.44275,3.95082,0.6372499999999999,0.32291000000000025,0.34863529186937803,0.34863529186937803,0.674317645934689,9.862811381445511e-216,medium,human,2.0980889665984086e-215
cau_neg_conn_ratio,coesao_conectivos,5391,5391,0.0,0.0,0.0,0.0,-0.3420256236812861,0.3420256236812861,0.32898718815935696,0.0,medium,llm,0.0
sentence_length_standard_deviation,complexidade_descritiva,5391,5391,9.9098,8.02884,2.88814,1.2823499999999992,0.3414182509985848,0.3414182509985848,0.6707091254992924,5.587843782012e-207,medium,human,1.167460218741793e-206
